Start,End,Lobbyist,Client,Industry,Cluster
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Walter A. DeRoeck,Real Estate,260
2013-10-08,2015-10-16,"Derlis ""Trey"" Salinas III",Southside Wrecker,Towing,231
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Balcones Resources,Real Estate,232
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Cypress Realty,Real Estate Development,112
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Texas Special Events Alliance,Advocavy Organization,902
2013-10-08,2015-10-16,"Derlis ""Trey"" Salinas III",Neal Richards Group,Real Estate,235
2013-10-08,2014-10-08,"Derlis ""Trey"" Salinas III",Solair Direct,,903
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",AT&T,"Network deployment, development, zoning and signage issues",101
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Wells Branch MUD,,236
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",North Austin MUD No. 1,Municipal Utility District,89
2013-10-08,2016-10-22,"Derlis ""Trey"" Salinas III",Water Control Irrigation District # 10,,238
2013-10-07,2015-10-15,David Hartman,Ledcor Properties Company,Real Estate,239
2013-10-07,2015-10-15,David Hartman,Techridge Spectrum B.C.,Real Estate,696
2013-10-07,2015-10-15,David Hartman,Texas Research International,Real Estate,240
2013-10-07,2015-10-15,David Hartman,AT&T,Real Estate,241
2013-10-07,2015-10-15,David Hartman,Oden Hughes,Real Estate,117
2013-10-07,2015-10-15,David Hartman,Balcones Resources,Real Estate,232
2013-10-07,2015-10-15,David Hartman,Lincoln Property Company,Real Estate Development,242
2013-10-07,2015-10-15,David Hartman,Perry Estates,Real Estate,243
2013-10-07,2015-10-15,David Hartman,Mark Cathcart,Real Estate,245
2013-10-07,2015-10-15,David Hartman,Peyton Riley No. 3,Real Estate,155
2013-10-07,2016-10-09,Mary Stratmann,AT&T,Real Estate,241
2013-10-07,2016-10-09,Mary Stratmann,Balcones Resources,Real Estate,232
2013-10-07,2016-10-09,Mary Stratmann,Ledcor Properties Company,Real Estate,239
2013-10-07,2016-10-09,Mary Stratmann,Lincoln Property Company,Real Estate Development,242
2013-10-07,2015-10-15,Mary Stratmann,Mark Cathcart,Real Estate,245
2013-10-07,2016-10-09,Mary Stratmann,Oden Hughes,Real Estate,117
2013-10-07,2015-10-15,Mary Stratmann,Perry Estates,Real Estate,243
2013-10-07,2015-10-15,Mary Stratmann,Peyton Riley No. 3,Real Estate,155
2013-10-07,2014-10-07,Mary Stratmann,Presidium Group,,98
2013-10-07,2016-10-09,Mary Stratmann,Techridge Spectrum B.C.,Real Estate,696
2013-10-07,2016-10-09,Mary Stratmann,Texas Research International,Real Estate,240
2013-10-07,2015-10-15,Mary Stratmann,Sackmann Enterprises,Real Estate,675
2013-10-07,2015-10-15,David Hartman,Sackmann Enterprises,Real Estate,675
2013-10-01,2015-10-02,Steven Metcalfe,Lyda Family Trust,Real Estate,156
2013-10-01,2016-10-05,Steven Metcalfe,Taurus of Texas GP,Real Estate,140
2013-10-01,2016-10-05,Steven Metcalfe,Life Austin,Real Estate,22
2013-10-01,2014-10-01,Steven Metcalfe,AustinSeventyOne,Real Estate,904
2013-10-01,2016-10-05,Steven Metcalfe,County Line,Real Estate Development,248
2013-10-01,2014-10-01,Steven Metcalfe,Harrod Properties,Real Estate Development,905
2013-10-01,2014-10-01,Steven Metcalfe,Sawtooth Development Group,Real Estate Development,906
2013-10-01,2015-10-02,Steven Metcalfe,Regents School of Austin,Real Estate Develoment,250
2013-10-01,2014-10-01,Steven Metcalfe,William Archer,Real Estate Develoment,907
2013-10-01,2016-10-05,Steven Metcalfe,First Hartford Realty,Real Estate Develoment,251
2013-10-01,2015-10-02,Steven Metcalfe,Standard Pacific of Texas,Property Owner/Developer,252
2013-10-01,2014-10-01,Steven Metcalfe,JMI,Real Estate,908
